title,album,attribution,members,release_date,bpm,duration
Wawawa*What's up!,OVA,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.07.05,182,3:53
LIVE with a smile!,LIVE with a smile! Collab,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2021.11.03,155,5:13
Miracle STAY TUNE!,LIVE with a smile! Collab,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2021.11.24,158,4:51
Multidimensional BIGBANG,IM@S Collab,Ayumu Uehara,Ayumu Uehara,2023.12.06,,
SUPER NOVA,SUPER NOVA,DiverDiva,"Karin Asaka, Ai Miyashita",2020.02.12,128,4:13
Love Triangle,SUPER NOVA,DiverDiva,"Karin Asaka, Ai Miyashita",2020.02.12,190,4:13
THE SECRET NiGHT,THE SECRET NiGHT,DiverDiva,"Karin Asaka, Ai Miyashita",2021.05.26,126,3:53
Fly into the sky,THE SECRET NiGHT,DiverDiva,"Karin Asaka, Ai Miyashita",2021.05.26,90,4:09
Eternal Light,Anime Season 2,DiverDiva,"Karin Asaka, Ai Miyashita",2022.05.25,178,4:06
Love Magic!!,Anime Season 2,DiverDiva,"Karin Asaka, Ai Miyashita",2022.05.25,150,3:48
Shadow Effect,Shadow Effect,DiverDiva,"Karin Asaka, Ai Miyashita",2022.10.05,128,3:56
Kiss the Sun,Shadow Effect,DiverDiva,"Karin Asaka, Ai Miyashita",2022.10.05,106,4:21
Dream Land! Dream World!,Dream Land! Dream World!,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2020.02.12,211,3:51
Cheer for you!!,Dream Land! Dream World!,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2020.02.12,151,3:39
Maze Town,Maze Town,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2021.06.16,135,
Folklore ~Song of Joy~,Maze Town,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2021.06.16,108,
Infinity! Our wings!!,Anime Season 2,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.06.08,180,4:31
Poker face & Onegai! Fairy,Anime Season 2,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.06.08,115,4:47
Blue!,Blue!,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.11.02,122,4:34
Dancing in the Light,Blue!,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.11.02,130,4:29
Sing & Smile!!,Sing & Smile!!,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2020.02.12,135,4:41
Beautiful Moonlight,Sing & Smile!!,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2020.02.12,116,3:58
Swinging!,Swinging!,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2021.07.14,128,4:03
Not Sad,Swinging!,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2021.07.14,110,4:17
ENJOY IT!,Anime Season 2,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.05.11,120,4:13
4 SEASONS,Anime Season 2,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.05.11,117,3:48
PASTEL,PASTEL,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.11.23,138,3:51
The Path Ahead,PASTEL,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.11.23,84,4:01
MONSTER GIRLS,MONSTER GIRLS,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2021.10.06,130,3:56
Blue Canary,MONSTER GIRLS,Shioriko Mifune,Shioriko Mifune,2021.10.06,178,3:49
I'm Still...,MONSTER GIRLS,Mia Taylor,Mia Taylor,2021.10.06,90,4:06
Queendom,MONSTER GIRLS,Lanzhu Zhong,Lanzhu Zhong,2021.10.06,105,3:59
Vroom Vroom,Vroom Vroom,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.09.28,137,3:36
Bubble Over!,Vroom Vroom,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.09.28,164,3:06
POWER SPOT!!,Anime Season 1,DiverDiva,"Karin Asaka, Ai Miyashita",2020.12.24,130,3:59
Secret Flavor!,Anime Season 1,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2021.01.27,182,4:01
Make-up session ABC,Anime Season 1,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2021.02.25,111,4:13
Colorful -Brilliant-,Anime Season 1,DiverDiva,"Karin Asaka, Ai Miyashita",2021.03.26,100,4:17
Happy Nyan! Days,Anime Season 1,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2021.04.27,160,3:53
Twinkle Town,Anime Season 1,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2021.05.26,103,4:15
Hurray Hurray,Anime Season 1,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2021.06.25,150,4:34
Fashionista,Anime Season 1,DiverDiva,"Karin Asaka, Ai Miyashita",2022.06.24,115,3:20
Fluffy Fluffy Hour!,Anime Season 2,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.07.27,118,4:28
In the Midst of Romance,Anime Season 2,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.08.26,72,4:23
Look at me now,Anime Season 2,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.09.28,134,3:12
TOKIMEKI Runners (12 Members Ver.),Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.10.28,180,4:48
Love U my friends (12 Members Ver.),Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.11.25,170,3:59
Just Believe!!! (12 Members Ver.),Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.12.23,186,4:05
Exciting! Monday Morning,OVA,Nijigasaki First-Years,"Kasumi Nakasu, Shizuku Osaka, Rina Tennoji, Shioriko Mifune",2023.08.30,165,3:09
"Our Live, Your Life",Bokura no Live Kimi to no Life,Honoka Kosaka,"Honoka, Eli, Kotori, Umi, Rin, Maki, Nozomi, Hanayo, Nico",2010-08-12,145,04:12
"Snow Halation",Snow halation,Honoka Kosaka,"Honoka, Eli, Kotori, Umi, Rin, Maki, Nozomi, Hanayo, Nico",2010-12-15,128,04:22
"Summer-Colored Smile 1, 2, Jump!","Natsuiro Egao de 1, 2, Jump!",Honoka Kosaka,"Honoka, Eli, Kotori, Umi, Rin, Maki, Nozomi, Hanayo, Nico",2011-08-03,160,04:28
"Wonderful Rush",Wonderful Rush,Honoka Kosaka,"Honoka, Eli, Kotori, Umi, Rin, Maki, Nozomi, Hanayo, Nico",2012-09-05,172,04:50
"Music S.T.A.R.T!!",Music S.T.A.R.T!!,Honoka Kosaka,"Honoka, Eli, Kotori, Umi, Rin, Maki, Nozomi, Hanayo, Nico",2013-11-27,158,04:09
"We Are in the Present",Bokura wa Ima no Naka de,Honoka Kosaka,"Honoka, Eli, Kotori, Umi, Rin, Maki, Nozomi, Hanayo, Nico",2013-02-06,155,04:05
"No Brand Girls",No brand girls,Honoka Kosaka,"Honoka, Eli, Kotori, Umi, Rin, Maki, Nozomi, Hanayo, Nico",2014-01-29,170,04:44
"START:DASH!!",START:DASH!!,Honoka Kosaka,"Honoka, Umi, Kotori",2013-02-20,132,04:35
"Dancing in the Moonlight Castle",Kaguya no Shiro de Odoritai,Eli Ayase,"Eli, Nozomi, Nico",2014-07-09,150,03:58
"Dancing Stars on Me!",Dancing stars on me!,Honoka Kosaka,"Honoka, Eli, Kotori, Umi, Rin, Maki, Nozomi, Hanayo, Nico",2014-04-23,164,04:16
"Love Wing Bell",Love wing bell,Kotori Minami,"Kotori, Umi, Maki, Rin, Hanayo",2014-08-27,140,04:10
"Momentary Romantic",Shunjou Romantic,Nozomi Tojo,"Nozomi, Eli, Nico",2015-05-27,148,03:50
"Cutie Panther",Cutie Panther,Eli Ayase,"Eli, Nico, Maki",2013-08-28,175,03:30
"Soldier Game",Soldier game,Umi Sonoda,"Umi, Honoka, Kotori",2013-04-10,162,04:00
"Angelic Angel",Angelic Angel,Honoka Kosaka,"Honoka, Eli, Kotori, Umi, Rin, Maki, Nozomi, Hanayo, Nico",2015-07-08,155,04:35
"Is Your Heart Shining?",Kimi no Kokoro wa Kagayaiteru kai?,Chika Takami,"Chika, Riko, Kanan, Dia, You, Yoshiko, Hanamaru, Mari, Ruby",2016-04-27,150,04:25
"HAPPY PARTY TRAIN",HAPPY PARTY TRAIN,Chika Takami,"Chika, Riko, Kanan, Dia, You, Yoshiko, Hanamaru, Mari, Ruby",2017-04-05,160,04:40
"MY DANCE☆TONIGHT",MY Mai☆TONIGHT,Chika Takami,"Chika, Riko, Kanan, Dia, You, Yoshiko, Hanamaru, Mari, Ruby",2016-08-03,148,04:15
"Future Ticket",MIRAI TICKET,Chika Takami,"Chika, Riko, Kanan, Dia, You, Yoshiko, Hanamaru, Mari, Ruby",2017-11-01,155,04:32
"WATER BLUE NEW WORLD",WATER BLUE NEW WORLD,Chika Takami,"Chika, Riko, Kanan, Dia, You, Yoshiko, Hanamaru, Mari, Ruby",2017-08-09,165,04:50
"WONDERFUL STORIES",WONDERFUL STORIES,Chika Takami,"Chika, Riko, Kanan, Dia, You, Yoshiko, Hanamaru, Mari, Ruby",2019-01-30,158,04:28
"Thrilling One-way",Thrilling One-way,Chika Takami,"Chika, Riko, Kanan, Dia, You, Yoshiko, Hanamaru, Mari, Ruby",2018-04-04,170,04:20
"Self-Love Dash!",Jimo Ai Dash!,You Watanabe,"You, Chika, Riko",2016-07-20,145,04:00
"Rather Than Recounting Dreams, Let's Sing of Dreams",Yume Kataru yori Yume Utaou,Chika Takami,"Chika, Riko, Kanan, Dia, You, Yoshiko, Hanamaru, Mari, Ruby",2019-04-02,152,04:35
"Awaken the Power",Awaken the power,Saint Snow,"Sarah, Leah",2017-12-22,180,04:55
"Brightest Melody",Brightest Melody,Chika Takami,"Chika, Riko, Kanan, Dia, You, Yoshiko, Hanamaru, Mari, Ruby",2018-08-08,155,04:23
"No.10",No.10,Kanan Matsuura,"Kanan, Mari, Dia",2018-02-07,160,04:10
"Guilty Night, Guilty Kiss!","Guilty Night, Guilty Kiss!",Riko Sakurauchi,"Riko, Yoshiko, Mari",2016-11-09,175,03:50
"Unseen Horizon",Mitaiken HORIZON,Chika Takami,"Chika, Riko, Kanan, Dia, You, Yoshiko, Hanamaru, Mari, Ruby",2020-05-27,162,04:30
"Jump up HIGH!!",Jump up HIGH!!,Chika Takami,"Chika, Riko, Kanan, Dia, You, Yoshiko, Hanamaru, Mari, Ruby",2020-08-26,168,04:18
"START!! True Dreams",START!! True dreams,Kanon Shibuya,"Kanon, Keke, Sumire, Ren, Chisato",2021-07-07,155,04:15
"We Are the Flowers of the Future",START!! True dreams,Kanon Shibuya,"Kanon, Keke, Sumire, Ren, Chisato",2021-07-07,160,03:55
"Tiny Stars",Tiny Stars,Sumire Heanna,"Sumire, Kanon",2021-10-06,140,04:10
"Starlight Prologue",Starlight Prologue,Kanon Shibuya,"Kanon, Keke, Sumire, Ren, Chisato",2022-04-06,158,04:25
"Our Dreams Begin Here",Yume ga Koko kara Hajimaru yo,Keke Tang,"Keke, Kanon, Sumire",2022-08-03,170,03:50
"Sing! Shine! Smile!",Sing! Shine! Smile!,Kanon Shibuya,"Kanon, Keke, Sumire, Ren, Chisato",2022-11-09,165,04:30
"Future Parade",Future Parade,Chisato Arashi,"Chisato, Ren, Kanon",2023-02-15,152,04:12
"The Beginning is Your Sky",Hajimari wa Kimi no Sora,Ren Hazuki,"Ren, Kanon, Keke",2023-05-10,148,04:18
"An Eternal Moment",Eien no Isshun,Kanon Shibuya,"Kanon, Keke, Sumire, Ren, Chisato",2023-07-20,162,04:40
"Shooting Voice!",Shooting Voice!,Sumire Heanna,"Sumire, Chisato",2023-09-05,175,03:45
"Miracle Light",Miracle Light,Kanon Shibuya,"Kanon, Keke, Sumire, Ren, Chisato",2023-12-01,150,04:05
"Dreamer's Anthem",Dreamer's Anthem,Keke Tang,"Keke, Ren, Chisato",2024-01-15,168,04:22
"Melody of the Starry Sky",Hoshizora no Melody,Chisato Arashi,"Chisato, Kanon",2024-02-28,145,03:55
"Fly High!!",Fly High!!,Kanon Shibuya,"Kanon, Keke, Sumire, Ren, Chisato",2024-03-10,155,04:15
"Canvas of the Heart",Kokoro no Canvas,Ren Hazuki,"Ren, Sumire, Keke",2024-04-05,160,04:00
"Never Ending Sky",Never Ending Sky,Kanon Shibuya,"Kanon, Keke, Sumire, Ren, Chisato",2024-05-20,158,04:35
"Shining Star",Shining Star,Sumire Heanna,"Sumire, Kanon, Chisato",2024-06-08,172,03:58
"Step into the Sunshine",Step into the Sunshine,Keke Tang,"Keke, Ren",2024-07-12,148,04:10
"Over the Rainbow",Over the Rainbow,Kanon Shibuya,"Kanon, Keke, Sumire, Ren, Chisato",2024-08-25,164,04:28
"Brand New World",Brand New World,Chisato Arashi,"Chisato, Ren, Kanon",2024-09-30,180,04:50